采样序号,轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,扭缆圈数,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,变频器冷却液液位要求,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,扭缆圈数,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩,变频器电网侧Cosphi,电网频率误差
25,10.8,248,0.36,0.37,0.37,11.5,11.2,11.3,11.07,-10.9,0.02,0.01,0.5,208.6,6.4,194,1,1,342,686,409,0,430,11.13,520.1,357,31.3,31.5,0,3.0,0,1978.7,0,16.7,11.9,35.4,34.1,38.2,36.2,38.4,36.4,31.8,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,53,530,5.2,0,0,0,1,0
26,10.83,320,0.36,0.37,0.37,11.6,10.9,11.3,11.04,-8.2,-0.01,0.06,0.5,208.3,6.0,194,1,1,344,686,410,1,430,11.1,518.6,360,31.6,31.6,0,2.9,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.3,36.4,31.9,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,530,5.2,0,0,0,1,0
27,10.76,32,0.36,0.37,0.37,11.4,10.9,11.3,11.0,-7.7,0.05,0.04,0.5,207.9,6.1,194,1,1,346,686,412,1,428,11.08,522.9,360,31.5,31.7,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.93,44.88,54,520,5.2,0,0,0,1,0
28,10.78,104,0.36,0.37,0.37,11.2,11.2,11.3,11.03,-7.7,-0.05,0.03,0.5,208.1,6.1,194,1,1,343,686,409,1,431,11.1,521.5,359,31.9,32.1,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.93,44.88,54,520,5.3,0,0,0,1,0
29,10.71,176,0.36,0.37,0.37,11.3,11.4,11.3,10.9,-7.6,0.07,0.04,0.5,208.1,5.7,194,1,1,341,686,406,-2,427,11.07,520.6,358,31.9,32.1,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,34,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,53,520,5.3,0,0,0,1,0
30,10.76,248,0.36,0.37,0.37,11.4,11.3,11.4,11.03,-5.3,-0.07,0.08,0.5,208.4,6.7,194,1,1,341,686,406,1,423,11.09,515.9,356,31.5,31.8,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,33,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,52,530,5.3,0,0,0,1,0
31,10.83,320,0.36,0.37,0.37,11.6,11.1,11.3,11.01,-5.7,0.04,0.0,0.5,208.1,6.2,194,1,1,347,686,414,0,433,11.11,517.9,359,31.5,31.7,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,34,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,53,530,5.2,0,0,0,1,0
32,10.81,32,0.36,0.37,0.37,11.6,10.8,11.3,11.06,-12.7,-0.01,0.06,0.5,208.5,6.2,195,1,1,341,686,408,0,426,11.1,519.1,358,31.8,31.9,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.93,44.88,54,530,5.2,0,0,0,1,0
33,10.78,112,0.36,0.37,0.37,11.3,11.1,11.3,11.01,-11.7,-0.02,0.04,0.5,208.6,7.6,195,1,1,344,686,410,1,426,11.1,519.3,360,32.0,32.1,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,32.0,32.2,58.1,58.7,34,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.93,44.88,54,530,5.2,0,0,0,1,0
34,10.75,184,0.36,0.37,0.37,11.2,11.3,11.4,11.02,-17.7,0.02,0.0,0.5,208.3,7.4,196,1,1,343,686,409,2,429,11.14,520.4,356,31.5,31.7,0,3.0,0,1978.7,0,16.7,12.0,35.3,34.1,38.2,36.2,38.4,36.4,32.0,32.2,58.1,58.7,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,520,5.3,0,0,0,1,0
35,10.8,256,0.36,0.37,0.37,11.3,11.4,11.4,10.96,-15.0,-0.01,0.1,0.5,208.2,5.6,196,1,1,338,686,403,1,428,11.14,514.3,355,31.5,31.7,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,32.1,32.2,58.1,58.7,34,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,53,520,5.3,0,0,0,1,0
36,10.83,320,0.36,0.37,0.37,11.5,11.2,11.3,11.14,-10.0,0.01,0.03,0.5,208.7,6.7,195,1,1,342,686,408,2,427,11.15,517.2,358,31.7,31.8,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,32.0,32.2,58.1,58.7,33,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,52,520,5.3,0,0,0,1,0
37,10.87,32,0.36,0.37,0.37,11.6,11.0,11.3,11.12,-7.2,0.0,0.04,0.5,208.4,6.0,195,1,1,350,686,417,1,440,11.15,521.7,365,31.5,31.5,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.1,38.4,36.4,31.9,32.2,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,530,5.2,0,0,0,1,0
38,10.85,104,0.36,0.37,0.37,11.4,10.8,11.4,11.1,-8.3,0.04,0.06,0.5,207.9,6.4,195,1,1,350,686,417,-2,440,11.15,529.6,365,31.9,32.0,0,2.9,0,1978.7,0,16.7,11.9,35.3,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.1,58.6,34,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,530,5.2,0,0,0,1,0
39,10.47,176,0.36,0.37,0.37,11.1,11.1,11.3,11.04,-11.9,-0.06,0.04,0.5,208.4,7.0,195,1,1,349,686,416,1,434,11.17,526.6,362,32.1,32.2,0,3.0,0,1978.7,0,16.7,11.9,35.4,34.1,38.2,36.2,38.4,36.4,31.8,32.1,58.2,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,530,5.2,0,0,0,1,0
40,10.62,248,0.36,0.37,0.37,11.3,11.4,11.4,11.04,-11.9,0.09,0.02,0.5,207.8,6.7,196,1,1,348,686,415,0,437,11.2,526.2,363,31.9,31.9,0,3.0,0,1978.7,0,16.7,11.9,35.3,34.0,38.2,36.2,38.4,36.4,31.8,32.1,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,530,5.3,0,0,0,1,0
41,10.89,320,0.36,0.37,0.37,11.4,11.1,11.3,11.09,-12.3,-0.07,0.09,0.5,208.1,6.7,196,1,1,349,686,416,-1,433,11.17,524.9,362,31.9,32.0,0,3.0,0,1978.7,0,16.7,11.9,35.3,34.0,38.2,36.2,38.3,36.4,31.8,32.1,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,53,520,5.3,0,0,0,1,0
42,10.87,32,0.36,0.37,0.37,11.6,11.2,11.3,11.18,-10.5,0.05,0.01,0.5,208.3,6.1,196,1,1,355,686,423,-1,440,11.2,525.7,365,32.0,31.9,0,3.0,0,1978.7,0,16.7,12.0,35.3,34.0,38.2,36.2,38.3,36.4,31.9,32.2,58.2,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,53,520,5.3,0,0,0,1,0
43,10.71,104,0.36,0.37,0.37,11.6,10.9,11.3,11.16,-8.6,-0.01,0.04,0.5,208.1,6.2,195,1,1,352,686,420,0,438,11.21,529.4,367,32.0,32.0,0,3.0,0,1978.7,0,16.7,12.0,35.3,34.0,38.2,36.2,38.3,36.4,31.9,32.2,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,520,5.2,0,0,0,1,0
44,10.89,176,0.36,0.37,0.37,11.2,11.0,11.4,11.13,-6.2,0.0,0.08,0.5,208.2,5.4,195,1,1,358,686,427,-1,443,11.22,532.2,367,31.8,32.1,0,3.0,0,1978.7,0,16.7,12.0,35.3,34.1,38.2,36.2,38.3,36.4,31.9,32.2,58.1,58.6,34,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,54,530,5.2,0,0,0,1,0
45,10.84,248,0.36,0.37,0.37,11.2,11.1,11.3,11.1,-5.8,-0.01,0.01,0.5,208.5,6.4,195,1,1,350,686,418,0,440,11.2,530.7,363,32.1,32.1,0,3.0,0,1978.7,0,16.7,12.0,35.3,34.1,38.2,36.2,38.3,36.4,31.9,32.2,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,540,5.2,0,0,0,1,0
46,10.66,320,0.36,0.37,0.37,11.4,11.5,11.4,11.01,-5.5,0.02,0.06,0.5,208.0,5.3,195,1,1,351,686,418,1,435,11.19,527.8,362,31.6,31.8,0,3.0,0,1978.7,0,16.7,11.9,35.4,34.1,38.2,36.2,38.3,36.4,31.9,32.2,58.1,58.6,34,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,53,530,5.3,0,0,0,1,0
47,10.9,32,0.36,0.37,0.37,11.4,11.2,11.3,11.13,-6.5,-0.02,0.06,0.5,208.4,6.4,195,1,1,349,686,416,-1,441,11.23,525.6,364,32.0,32.1,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.0,38.2,36.2,38.3,36.4,31.9,32.2,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,53,530,5.3,0,0,0,1,0
48,10.69,104,0.36,0.37,0.37,11.6,10.9,11.3,11.13,-12.2,0.01,0.03,0.5,208.3,5.8,196,1,1,352,686,420,-2,438,11.17,529.6,366,31.9,32.1,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.3,36.4,32.0,32.2,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,53,520,5.3,0,0,0,1,0
49,10.9,176,0.36,0.37,0.37,11.3,10.8,11.3,11.11,-14.1,0.02,0.05,0.5,208.1,6.3,196,1,1,349,686,416,-2,439,11.18,527.9,362,31.8,31.9,0,3.0,0,1974.6,0,16.69,11.9,35.3,34.1,38.2,36.2,38.3,36.4,31.9,32.2,58.1,58.6,34,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,54,520,5.2,0,0,0,1,0
50,10.85,248,0.36,0.37,0.37,11.1,11.2,11.4,11.12,-14.3,-0.06,0.06,0.5,208.0,6.1,196,1,1,352,686,420,-2,441,11.18,528.3,367,31.7,31.9,0,3.0,0,1974.6,0,16.69,12.0,35.3,34.1,38.2,36.2,38.3,36.4,32.0,32.2,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,520,5.2,0,0,0,1,0
51,10.81,320,0.36,0.37,0.37,11.3,11.4,11.3,11.01,-13.4,0.07,0.01,0.5,208.2,6.4,196,1,1,352,686,419,-3,437,11.17,528.7,363,31.9,31.9,0,2.9,0,1974.6,0,16.69,11.9,35.3,34.1,38.2,36.2,38.3,36.4,32.0,32.2,58.1,58.6,34,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,530,5.2,0,0,0,1,0
52,10.64,32,0.36,0.37,0.37,11.4,11.3,11.4,11.1,-11.4,-0.08,0.09,0.5,208.4,6.7,196,1,1,349,685,416,-1,441,11.19,527.2,364,31.9,31.9,0,3.0,0,1974.6,0,16.69,12.0,35.3,34.1,38.2,36.2,38.3,36.4,32.0,32.2,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.93,44.88,53,530,5.3,0,0,0,1,0
53,10.86,104,0.36,0.37,0.37,11.6,11.2,11.3,11.11,-9.5,0.06,0.04,0.5,207.9,5.8,196,1,1,346,686,413,0,433,11.14,526.1,361,31.8,31.8,0,3.0,0,1974.6,0,16.69,11.9,35.3,34.1,38.2,36.2,38.3,36.4,32.0,32.1,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,53,520,5.3,0,0,0,1,0
54,10.83,176,0.36,0.37,0.37,11.6,10.8,11.3,11.11,-8.5,-0.04,0.03,0.5,208.2,6.3,196,1,1,348,686,414,0,437,11.15,524.3,363,31.8,31.9,0,3.0,0,1974.6,0,16.69,11.9,35.3,34.1,38.2,36.2,38.3,36.4,31.9,32.1,58.1,58.6,33,40,19.2,22.8,35,35,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,54,530,5.3,0,0,0,1,0
