采样序号,轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,扭缆圈数,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,变频器冷却液液位要求,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,扭缆圈数,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩,变频器电网侧Cosphi,电网频率误差
10,8.72,264.0,0.32,0.34,0.32,11.0,10.9,10.8,0.0,0.6,0.06,0.09,0.7,204.8,4.6,259.0,1.0,3.0,162.0,696.0,197.0,-1.0,206.0,8.69,327.7,225.0,32.7,27.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,16.0,24.0,12.6,19.0,30.0,31.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
11,8.61,336.0,0.32,0.34,0.32,11.4,10.9,10.6,0.0,-0.9,0.02,0.07,0.7,204.7,5.5,259.0,1.0,3.0,170.0,697.0,207.0,0.0,211.0,8.71,328.3,230.0,32.6,27.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.3,49.7,50.5,16.0,24.0,12.6,19.0,30.0,31.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,420.0,4.1,0.0,0.0,0.0,1.0,0.0
12,8.62,48.0,0.32,0.34,0.32,11.4,10.9,10.6,0.0,-5.4,0.04,0.07,0.7,204.9,5.0,259.0,1.0,3.0,174.0,697.0,211.0,-2.0,218.0,8.7,334.1,231.0,32.7,27.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,17.0,24.0,12.6,19.0,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
13,8.51,120.0,0.32,0.34,0.32,11.1,11.3,10.6,0.0,-5.4,0.05,0.09,0.7,204.9,4.6,259.0,1.0,3.0,169.0,697.0,205.0,0.0,218.0,8.7,334.6,229.0,32.8,27.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,16.0,24.0,12.6,19.0,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,40.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
14,8.52,192.0,0.32,0.34,0.32,10.9,11.6,10.8,0.0,-5.8,0.01,0.07,0.7,204.9,3.7,259.0,1.0,3.0,163.0,695.0,197.0,1.0,209.0,8.72,331.3,224.0,32.8,27.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.3,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.04,40.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
15,8.52,264.0,0.32,0.34,0.32,10.9,11.0,11.1,0.0,-4.4,0.02,0.07,0.7,204.8,4.5,259.0,1.0,3.0,166.0,697.0,202.0,-3.0,215.0,8.68,328.0,225.0,32.6,27.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.04,42.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
16,8.44,336.0,0.32,0.34,0.32,10.8,10.9,10.9,0.0,-1.6,0.06,0.09,0.7,204.6,4.0,259.0,1.0,3.0,164.0,696.0,199.0,-3.0,211.0,8.69,326.5,223.0,32.8,27.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.04,42.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
17,8.6,48.0,0.32,0.34,0.32,11.0,10.9,10.8,0.0,-1.6,0.0,0.07,0.7,204.9,4.6,259.0,1.0,3.0,160.0,696.0,195.0,0.0,204.0,8.7,324.2,223.0,32.8,27.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.04,42.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
18,8.64,120.0,0.32,0.34,0.32,11.4,10.9,10.7,0.0,-1.0,0.03,0.06,0.7,204.9,4.6,259.0,1.0,3.0,164.0,696.0,199.0,2.0,209.0,8.63,325.3,229.0,32.9,27.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,17.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
19,8.5,192.0,0.32,0.34,0.32,11.5,10.8,10.5,0.0,-8.5,0.09,0.1,0.7,204.8,5.3,260.0,1.0,3.0,172.0,696.0,208.0,1.0,214.0,8.63,331.7,231.0,32.7,26.9,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.6,17.3,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
20,8.49,264.0,0.32,0.34,0.32,11.0,11.3,10.6,0.0,-7.5,-0.04,0.08,0.7,205.0,4.4,260.0,1.0,3.0,169.0,696.0,205.0,-1.0,215.0,8.63,333.5,227.0,32.8,27.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,40.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
21,8.43,336.0,0.32,0.34,0.32,10.8,11.6,10.8,0.0,-4.5,0.07,0.05,0.7,204.8,3.8,259.0,1.0,3.0,162.0,697.0,196.0,-3.0,213.0,8.62,329.1,222.0,32.6,27.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,40.0,410.0,4.2,0.0,0.0,0.0,1.0,0.0
22,8.36,48.0,0.32,0.34,0.32,10.9,11.1,11.1,0.0,-3.1,0.02,0.09,0.7,204.9,4.4,259.0,1.0,3.0,158.0,696.0,192.0,2.0,203.0,8.59,323.8,220.0,32.9,27.4,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,33.0,34.0,24.0,24.0,26.0,45.0,44.84,45.04,41.0,400.0,4.2,0.0,0.0,0.0,1.0,0.0
23,8.4,120.0,0.32,0.34,0.32,10.8,10.8,11.1,0.0,-3.8,-0.01,0.07,0.7,204.9,4.6,259.0,1.0,3.0,157.0,696.0,190.0,-1.0,200.0,8.61,321.6,220.0,32.9,27.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.84,45.03,42.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
24,8.45,192.0,0.32,0.34,0.32,10.9,10.9,10.8,0.0,-5.3,0.1,0.07,0.7,204.9,5.0,259.0,1.0,3.0,157.0,697.0,190.0,-3.0,194.0,8.54,320.1,218.0,32.7,27.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.7,17.3,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.03,42.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
25,8.49,264.0,0.32,0.34,0.32,11.3,10.9,10.7,0.0,-4.7,-0.03,0.1,0.7,204.8,4.3,259.0,1.0,3.0,163.0,696.0,198.0,2.0,205.0,8.57,318.7,223.0,32.8,27.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.03,42.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
26,8.41,336.0,0.32,0.34,0.32,11.6,10.8,10.6,0.0,-4.4,0.06,0.07,0.7,204.9,3.8,259.0,1.0,3.0,166.0,697.0,201.0,1.0,210.0,8.54,324.0,225.0,32.6,27.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,16.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.04,41.0,420.0,4.0,0.0,0.0,0.0,1.0,0.0
27,8.41,48.0,0.32,0.34,0.32,11.1,11.1,10.6,0.03,-4.6,0.01,0.07,0.7,204.9,4.6,259.0,1.0,3.0,163.0,696.0,198.0,0.0,209.0,8.57,325.5,223.0,32.9,27.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.04,41.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
28,8.34,120.0,0.32,0.34,0.32,10.8,11.6,10.7,0.0,-10.4,0.03,0.09,0.7,204.8,4.1,260.0,1.0,3.0,155.0,696.0,188.0,-3.0,205.0,8.54,322.6,218.0,33.0,27.3,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,17.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.04,40.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
29,8.35,192.0,0.32,0.34,0.32,10.8,11.2,11.0,0.0,-12.6,0.03,0.07,0.7,204.8,4.7,261.0,1.0,3.0,152.0,696.0,185.0,0.0,197.0,8.54,318.0,216.0,32.9,27.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,40.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
30,8.32,264.0,0.32,0.34,0.32,10.8,10.8,11.1,0.0,-10.9,-0.03,0.07,0.7,204.9,4.2,261.0,1.0,3.0,154.0,696.0,186.0,4.0,195.0,8.54,315.4,216.0,32.7,27.3,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
31,8.33,336.0,0.32,0.34,0.32,10.8,10.9,10.9,0.0,-10.4,0.09,0.1,0.7,204.9,3.7,261.0,1.0,3.0,153.0,697.0,186.0,4.0,194.0,8.49,314.7,215.0,32.9,27.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,17.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,42.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
32,8.44,48.0,0.32,0.34,0.32,11.2,10.9,10.7,0.0,-8.9,0.02,0.07,0.7,204.9,4.4,261.0,1.0,3.0,158.0,696.0,192.0,2.0,196.0,8.51,313.7,219.0,32.8,27.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,42.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
33,8.42,120.0,0.32,0.34,0.32,11.6,10.8,10.6,0.0,-5.6,0.03,0.07,0.7,204.9,3.6,260.0,1.0,3.0,162.0,697.0,197.0,2.0,204.0,8.49,318.0,222.0,33.0,27.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,42.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
34,8.45,192.0,0.32,0.34,0.32,11.3,10.9,10.6,0.0,-2.8,0.08,0.1,0.7,205.0,4.3,260.0,1.0,3.0,163.0,696.0,198.0,1.0,206.0,8.52,320.4,221.0,32.9,27.4,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.03,41.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
35,8.4,264.0,0.32,0.34,0.32,10.8,11.6,10.6,0.0,-0.3,-0.03,0.05,0.7,204.9,4.3,259.0,1.0,3.0,160.0,696.0,194.0,1.0,206.0,8.54,320.6,218.0,32.8,27.3,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.7,17.4,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.03,40.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
36,8.33,328.0,0.32,0.34,0.32,10.8,11.3,10.9,0.0,1.3,0.05,0.08,0.7,204.7,5.0,259.0,1.0,3.0,151.0,697.0,184.0,2.0,197.0,8.51,316.0,214.0,32.8,27.4,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.2,15.8,17.4,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.03,40.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
37,8.31,40.0,0.32,0.34,0.32,10.8,10.8,11.1,0.0,1.1,0.08,0.1,0.7,204.9,4.6,259.0,1.0,3.0,154.0,696.0,186.0,4.0,195.0,8.53,313.9,215.0,33.1,27.4,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.1,15.8,17.4,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,33.0,34.0,24.0,24.0,26.0,44.99,44.85,45.03,40.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
38,8.37,112.0,0.32,0.34,0.32,10.8,10.8,10.9,0.0,0.8,-0.01,0.05,0.7,205.0,4.5,258.0,1.0,3.0,151.0,697.0,183.0,1.0,192.0,8.55,312.5,214.0,32.9,27.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.1,15.8,17.4,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,41.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
39,8.52,184.0,0.32,0.34,0.32,11.1,10.9,10.8,0.0,-0.8,0.05,0.08,0.7,204.8,4.8,259.0,1.0,3.0,154.0,696.0,187.0,0.0,193.0,8.51,311.8,217.0,32.9,27.4,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.1,15.8,17.4,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
40,8.53,256.0,0.32,0.34,0.32,11.4,10.8,10.6,0.0,-0.7,0.05,0.09,0.7,205.2,4.6,259.0,1.0,3.0,164.0,696.0,199.0,0.0,205.0,8.56,316.7,225.0,32.9,27.4,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.1,15.8,17.4,49.7,50.5,16.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.04,42.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
41,8.41,328.0,0.32,0.34,0.32,11.4,10.9,10.5,0.0,-1.0,0.02,0.07,0.7,204.8,5.0,259.0,1.0,3.0,165.0,696.0,200.0,-4.0,209.0,8.53,323.7,225.0,33.0,27.4,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.7,16.4,16.7,15.9,18.1,15.8,17.5,49.7,50.5,15.0,24.0,12.6,18.9,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.04,41.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
